Repo Name,URL,LLM used,LLM,LLM,Lang Used,Category,,Unique,Count,,Unique,Count,,Laguage,Count,,Category,Count,,,,
webgrip/PuttyGPT,https://github.com/webgrip/PuttyGPT,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
langchain-ai/langchain-benchmarks,https://github.com/langchain-ai/langchain-benchmarks,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
langfuse/langfuse-python,https://github.com/langfuse/langfuse-python,"llama,
openai",multiple LLMs,multiple LLMs,Python,Software Development,,,,,,,,,,,,,,,,
venkytv/botmand,https://github.com/venkytv/botmand,openai,openai,openai,Multi-language,Software Development,,,Python,Multi-language,total,,,,Python,Multi-language,total,,,Python,Multi-language,total
shroominic/codeinterpreter-api,https://github.com/shroominic/codeinterpreter-api,openai,openai,openai,Multi-language,Software Development,,OpenAI,78,116,194,,,OpenAI,40.20618557,59.79381443,100,,Domain-Specific Applications,21,33,54
salesforce/DialogStudio,https://github.com/salesforce/DialogStudio,openai,openai,openai,Python,Learning & Research,,multiple LLMs,10,35,45,,,multiple LLMs,22.22222222,77.77777778,100,,Software Development,45,87,132
romaingrx/Second-Order-Jailbreak,https://github.com/romaingrx/Second-Order-Jailbreak,"mistral,
openai",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,platform/framework,10,28,38,,,platform/framework,26.31578947,73.68421053,100,,Learning & Research,23,55,78
sixvo-labs/Sapir,https://github.com/sixvo-labs/Sapir,openai,openai,openai,Multi-language,Learning & Research,,others,2,14,16,,,others,12.5,87.5,100,,Underdeveloped,11,18,29
pors/langchain-chat-websockets,https://github.com/pors/langchain-chat-websockets,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,293
petermartens98/satGPT,https://github.com/petermartens98/satGPT,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
oscaem/debug50,https://github.com/oscaem/debug50,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
orgexyz/BlockAGI,https://github.com/orgexyz/BlockAGI,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
solygambas/python-openai-projects,https://github.com/solygambas/python-openai-projects,"claude,
openai,
palm",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,OpenAI,multiple LLMs,platform/framework,others,total,,,,,,,Python,Multi-language,
microsoft/autogen,https://github.com/microsoft/autogen,openai,openai,openai,Multi-language,Software Development,,Domain-Specific Applications,43,3,3,5,54,,,,,,Domain-Specific Applications,38.88888889,61.11111111,100
microsoft/CoML,https://github.com/microsoft/CoML,openai,openai,openai,Multi-language,Software Development,,Software Development,93,24,11,4,132,,,,,,Software Development,34.09090909,65.90909091,100
malcolmk181/athena,https://github.com/malcolmk181/athena,openai,openai,openai,Multi-language,Software Development,,Learning & Research,38,16,18,6,78,,,,,,Learning & Research,29.48717949,70.51282051,100
ma2za/telegram-llm-bot,https://github.com/ma2za/telegram-llm-bot,llama,llama,others,Multi-language,Software Development,,Underdeveloped,20,2,6,1,29,,,,,,Underdeveloped,37.93103448,62.06896552,100
log10-io/log10,https://github.com/log10-io/log10,"claude,
gemini,
llama,
mistral,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,OpenAI,multiple LLMs,platform/framework,others,total,,,,,,,,,
definitive-io/human-eval-sampling-benchmark,https://github.com/definitive-io/human-eval-sampling-benchmark,openai,openai,openai,Multi-language,Learning & Research,,Domain-Specific Applications,79.62962963,5.555555556,5.555555556,9.259259259,100,,,,,,,,,
shamspias/langchain-chat,https://github.com/shamspias/langchain-chat,openai,openai,openai,Python,Software Development,,Software Development,70.45454545,18.18181818,8.333333333,3.03030303,100,,,,,,,,,
daveebbelaar/langchain-experiments,https://github.com/daveebbelaar/langchain-experiments,openai,openai,openai,Multi-language,Learning & Research,,Learning & Research,48.71794872,20.51282051,23.07692308,7.692307692,100,,,,,,,,,
combinatrix-ai/PromptTrail,https://github.com/combinatrix-ai/PromptTrail,"claude,
gemini,
lamda,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,Underdeveloped,68.96551724,6.896551724,20.68965517,3.448275862,100,,,,,,,,,
Leo310/papa-backend,https://github.com/Leo310/papa-backend,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
Kav-K/GPTDiscord,https://github.com/Kav-K/GPTDiscord,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Jaykef/awesome-openAI,https://github.com/Jaykef/awesome-openAI,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
IntelligenzaArtificiale/Free-Auto-GPT,https://github.com/IntelligenzaArtificiale/Free-Auto-GPT,"openai,
palm",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
FujiwaraChoki/Omni-GPT,https://github.com/FujiwaraChoki/Omni-GPT,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Farama-Foundation/chatarena,https://github.com/Farama-Foundation/chatarena,"claude,
cohere,
meta,
openai",multiple LLMs,multiple LLMs,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
craigsdennis/talks-wrapping-your-brain-around-langchain,https://github.com/craigsdennis/talks-wrapping-your-brain-around-langchain,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
FanaHOVA/smol-podcaster,https://github.com/FanaHOVA/smol-podcaster,claude,claude,others,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
BrettlyCD/text-to-sql,https://github.com/BrettlyCD/text-to-sql,"framework:langchain,
platform:huggingface",platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
Azure-Samples/function-python-ai-langchain,https://github.com/Azure-Samples/function-python-ai-langchain,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
AutoLLM/AutoAgents,https://github.com/AutoLLM/AutoAgents,platform:huggingface,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
AugustWasilowski/SecondShiftAugie,https://github.com/AugustWasilowski/SecondShiftAugie,framework:langchain,platform/framework,platform/framework,Python,Software Development,,,,,,,,,,,,,,,,
Ananya2001-an/Architect,https://github.com/Ananya2001-an/Architect,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
0ptim/JellyChat,https://github.com/0ptim/JellyChat,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
MokoSan/ShlokGPT,https://github.com/MokoSan/ShlokGPT,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
Mj23978/sam-assistant,https://github.com/Mj23978/sam-assistant,"cohere,
llama,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
NakulManchanda/lang,https://github.com/NakulManchanda/lang,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
bigsky77/twitter-agent,https://github.com/bigsky77/twitter-agent,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
bflaven/ia_usages,https://github.com/bflaven/ia_usages,"claude,
deepseek,
mistral,
openai,
xai",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
amosjyng/langchain-contrib,https://github.com/amosjyng/langchain-contrib,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
zainbaq/webgpt,https://github.com/zainbaq/webgpt,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
alexdphan/babyagi-chroma-agent,https://github.com/alexdphan/babyagi-chroma-agent,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
ajithksenthil/PolicyWeb,https://github.com/ajithksenthil/PolicyWeb,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
adithya-s-k/Storyblocks,https://github.com/adithya-s-k/Storyblocks,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
XinyueZ/chat-your-doc,https://github.com/XinyueZ/chat-your-doc,"cohere,
deepseek,
gemma,
llama,
openai",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
TiltonLAW/LegalWRITER,https://github.com/TiltonLAW/LegalWRITER,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
Sujan-Roy/Pet-Name-Generator-Application-using-Langchain-Framework,https://github.com/Sujan-Roy/Pet-Name-Generator-Application-using-Langchain-Framework,framework:langchain,platform/framework,platform/framework,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
String-sg/chergpt2,https://github.com/String-sg/chergpt2,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
SammriddhGupta/Name-Gen,https://github.com/SammriddhGupta/Name-Gen,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
Safakan/TalkWithYourFiles,https://github.com/Safakan/TalkWithYourFiles,"llama,
 openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
Rehan-stack/AI-Content-Writer,https://github.com/Rehan-stack/AI-Content-Writer,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
shashnkvats/Chat-Wiki,https://github.com/shashnkvats/Chat-Wiki,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
hammad93/hurricane-net,https://github.com/hammad93/hurricane-net,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
goyal-anjali/portfolio-langchain,https://github.com/goyal-anjali/portfolio-langchain,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
gojira/langchain,https://github.com/gojira/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
hmdc/danswer-connector-request-tracker-rt,https://github.com/hmdc/danswer-connector-request-tracker-rt,"llama,
microsoft,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
htmw/SpotCheckAI,https://github.com/htmw/SpotCheckAI,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
jstzwj/ChatTester,https://github.com/jstzwj/ChatTester,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
j-space-b/langchain,https://github.com/j-space-b/langchain,llama,llama,others,Multi-language,Software Development,,,,,,,,,,,,,,,,
jacklatrobe/YAGTA,https://github.com/jacklatrobe/YAGTA,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
jbpayton/llm-auto-forge,https://github.com/jbpayton/llm-auto-forge,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
jikebin/codeinterpreter-api,https://github.com/jikebin/codeinterpreter-api,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
jina-ai/thinkgpt,https://github.com/jina-ai/thinkgpt,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
jorjiiie/trinity,https://github.com/jorjiiie/trinity,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
goabiaryan/langchain,https://github.com/goabiaryan/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
jvelezmagic/flow-genius,https://github.com/jvelezmagic/flow-genius,"ai21,
openai",multiple LLMs,multiple LLMs,Python,Underdeveloped,,,,,,,,,,,,,,,,
kalchakra13/openai-cookbook,https://github.com/kalchakra13/openai-cookbook,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
karl-sparks/sparks-ai,https://github.com/karl-sparks/sparks-ai,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
kozodoi/ragas,https://github.com/kozodoi/ragas,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
krarrobo1/financial-advisor,https://github.com/krarrobo1/financial-advisor,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
ilyamk/Discord-AI-Chatbot,https://github.com/ilyamk/Discord-AI-Chatbot,"openai,
replit",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
gabrielcassimiro17/async-langchain,https://github.com/gabrielcassimiro17/async-langchain,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
cheng-lf/Free-AUTO-GPT-with-NO-API,https://github.com/cheng-lf/Free-AUTO-GPT-with-NO-API,"openai,
palm",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
fernandobh/gpt_mr_reviewer,https://github.com/fernandobh/gpt_mr_reviewer,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
austinmw/ragas,https://github.com/austinmw/ragas,"openai,
opt",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
avkumar/codeinterpreter-api,https://github.com/avkumar/codeinterpreter-api,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
avogabos/ai_security_starterkit,https://github.com/avogabos/ai_security_starterkit,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
bleys/OSNAP,https://github.com/bleys/OSNAP,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
bradleypallen/conceptual-engineering-using-llms,https://github.com/bradleypallen/conceptual-engineering-using-llms,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
c2siorg/b0bot,https://github.com/c2siorg/b0bot,"gemma,
llama,
mistral",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
ceferisbarov/ragas,https://github.com/ceferisbarov/ragas,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
langchain-ai/langchain,https://github.com/langchain-ai/langchain,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
codingchild2424/gpt-4-vision-for-eval,https://github.com/codingchild2424/gpt-4-vision-for-eval,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
coffree0123/gpt-voice-assistant,https://github.com/coffree0123/gpt-voice-assistant,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
dblasko/cv-job-matcher,https://github.com/dblasko/cv-job-matcher,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
dennisfelczy/OpenAI_Document_Analyzer,https://github.com/dennisfelczy/OpenAI_Document_Analyzer,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
despiegk/ai_playground,https://github.com/despiegk/ai_playground,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
docker/genai-stack,https://github.com/docker/genai-stack,"llama,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
drewgillson/googlepalm-minute-book-extraction,https://github.com/drewgillson/googlepalm-minute-book-extraction,palm,palm,others,Multi-language,Software Development,,,,,,,,,,,,,,,,
dyllanwli/arcgis-code-interpreter,https://github.com/dyllanwli/arcgis-code-interpreter,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
facebookresearch/personal-timeline,https://github.com/facebookresearch/personal-timeline,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
faizanahemad/science-reader,https://github.com/faizanahemad/science-reader,opt,opt,others,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
friedcheesee/InnerVerse,https://github.com/friedcheesee/InnerVerse,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
langchain-ai/langchain-teacher,https://github.com/langchain-ai/langchain-teacher,framework:langchain,platform/framework,platform/framework,Python,Learning & Research,,,,,,,,,,,,,,,,
tehmasta/chatgpt-wrapper,https://github.com/tehmasta/chatgpt-wrapper,"ai21,
cohere,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
linancn/TianGong-AI-Agent,https://github.com/linancn/TianGong-AI-Agent,openai,openai,openai,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
santiago-visanto/langchain-experiments,https://github.com/santiago-visanto/langchain-experiments,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
satelerd/GPT3-Models,https://github.com/satelerd/GPT3-Models,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
shadhav/bedrockDemo,https://github.com/shadhav/bedrockDemo,amazon,amazon,others,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
skypointcloud/spc-langchain,https://github.com/skypointcloud/spc-langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
arnaudsoullie/otsecgpt,https://github.com/arnaudsoullie/otsecgpt,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
theoracley/function-python-ai-langchain,https://github.com/theoracley/function-python-ai-langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
ueda-keisuke/ResumeOptimizer,https://github.com/ueda-keisuke/ResumeOptimizer,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
umd123/research3,https://github.com/umd123/research3,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
wbsg-uni-mannheim/ExtractGPT,https://github.com/wbsg-uni-mannheim/ExtractGPT,"llama,
openai",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
while-basic/chatarena,https://github.com/while-basic/chatarena,"claude,
cohere,
meta,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
xiaojingyi/chatgpt-wrapper,https://github.com/xiaojingyi/chatgpt-wrapper,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
xpluscal/selfhealing-action-express,https://github.com/xpluscal/selfhealing-action-express,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
yasyf/compress-gpt,https://github.com/yasyf/compress-gpt,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
yasyf/summ,https://github.com/yasyf/summ,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
yeoshuheng/travel-gpt,https://github.com/yeoshuheng/travel-gpt,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
yeyu2/Youtube_demos,https://github.com/yeyu2/Youtube_demos,"gemini,
gemma,
llama,
microsoft,
mistral,
openai",multiple LLMs,multiple LLMs,Multi-language,Underdeveloped,,,,,,,,,,,,,,,,
yongchao98/NL2TL,https://github.com/yongchao98/NL2TL,platform:huggingface,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
royca/yt-gpt,https://github.com/royca/yt-gpt,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
leemthompo/langchain,https://github.com/leemthompo/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
robocorp/product_hour_remark_oct_examples,https://github.com/robocorp/product_hour_remark_oct_examples,openai,openai,openai,Python,Underdeveloped,,,,,,,,,,,,,,,,
rheaton64/VoiceAssistantGUI,https://github.com/rheaton64/VoiceAssistantGUI,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
lordlinus/Enterprise-ChatGPT,https://github.com/lordlinus/Enterprise-ChatGPT,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
mbchang/data-driven-characters,https://github.com/mbchang/data-driven-characters,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
mbchang/panel_simulation,https://github.com/mbchang/panel_simulation,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
mcantillon21/quotifyai,https://github.com/mcantillon21/quotifyai,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
metagov/d20-governance,https://github.com/metagov/d20-governance,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
microsoft/PodcastCopilot,https://github.com/microsoft/PodcastCopilot,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
nasa-petal/bidara,https://github.com/nasa-petal/bidara,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
nealm682/DIY-Shopping-List-Builder,https://github.com/nealm682/DIY-Shopping-List-Builder,openai,openai,openai,Python,Learning & Research,,,,,,,,,,,,,,,,
nicknochnack/Nopenai,https://github.com/nicknochnack/Nopenai,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
nshuklaDS/LLMStack,https://github.com/nshuklaDS/LLMStack,"cohere,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
nullzero-live/Gavin-A-GoodMidi,https://github.com/nullzero-live/Gavin-A-GoodMidi,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
pareenakaur/HackOverflow,https://github.com/pareenakaur/HackOverflow,framework:langchain,platform/framework,platform/framework,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
paulburkhardt/langfuse-python,https://github.com/paulburkhardt/langfuse-python,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
pavelerokhin/prompt-engineering,https://github.com/pavelerokhin/prompt-engineering,framework:langchain,platform/framework,platform/framework,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
pedromartinez3/AI-Integration-Showcase,https://github.com/pedromartinez3/AI-Integration-Showcase,framework:langchain,platform/framework,platform/framework,Python,Learning & Research,,,,,,,,,,,,,,,,
pinecone-io/genqa-rag-demo,https://github.com/pinecone-io/genqa-rag-demo,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
rajib76/langchain_examples,https://github.com/rajib76/langchain_examples,framework:langchain,platform/framework,platform/framework,Python,Learning & Research,,,,,,,,,,,,,,,,
rbrands/OpenAI_Document_Analyzer_Demo,https://github.com/rbrands/OpenAI_Document_Analyzer_Demo,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
rishabhranawat/junto,https://github.com/rishabhranawat/junto,claude,claude,others,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
arm-diaz/ragas,https://github.com/arm-diaz/ragas,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
parajbs/genai-stack,https://github.com/parajbs/genai-stack,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
Mr-Sure/langchain,https://github.com/Mr-Sure/langchain,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
CorneliaMelon/Med-Xplain,https://github.com/CorneliaMelon/Med-Xplain,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
Soham-Dutta2023/ELI5,https://github.com/Soham-Dutta2023/ELI5,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
Chryron/ai-copilot,https://github.com/Chryron/ai-copilot,openai,openai,openai,Python,Software Development,,,,,,,,,,,,,,,,
SimonB97/BG3Chat,https://github.com/SimonB97/BG3Chat,openai,openai,openai,Python,Domain-Specific Applications,,,,,,,,,,,,,,,,
GoldenWind8/swarms,https://github.com/GoldenWind8/swarms,"claude,
mistral,
openai",multiple LLMs,multiple LLMs,Python,Software Development,,,,,,,,,,,,,,,,
Ryguy-1/paperbox,https://github.com/Ryguy-1/paperbox,mistral,mistral,others,Python,Software Development,,,,,,,,,,,,,,,,
RohanDey02/langchain,https://github.com/RohanDey02/langchain,"llama,
openai",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
ChangweiZhang/langchain-azure-openai,https://github.com/ChangweiZhang/langchain-azure-openai,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
Pastorio/Langchain-Generate-Docstring-API,https://github.com/Pastorio/Langchain-Generate-Docstring-API,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
JBX2060/GPT3Discord,https://github.com/JBX2060/GPT3Discord,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
CurryTang/Graph-LLM,https://github.com/CurryTang/Graph-LLM,"llama,
openai",multiple LLMs,multiple LLMs,Python,Learning & Research,,,,,,,,,,,,,,,,
NicoManke/QuestGPT,https://github.com/NicoManke/QuestGPT,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
AAAATTIEH/auto-chain,https://github.com/AAAATTIEH/auto-chain,framework:langchain,platform/framework,platform/framework,Multi-language,Software Development,,,,,,,,,,,,,,,,
CSchnelle/bjork-album-generator,https://github.com/CSchnelle/bjork-album-generator,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
LuckCow/ModularIntellect,https://github.com/LuckCow/ModularIntellect,openai,openai,openai,Multi-language,Software Development,,,,,,,,,,,,,,,,
JayZeeDesign/Discord-AI-Chatbot,https://github.com/JayZeeDesign/Discord-AI-Chatbot,"openai,
replit",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
AIAnytime/Quick-Minutes-of-Meeting-using-ChatGPT,https://github.com/AIAnytime/Quick-Minutes-of-Meeting-using-ChatGPT,openai,openai,openai,Multi-language,Domain-Specific Applications,,,,,,,,,,,,,,,,
JoSeTe4ever/LLMozaic,https://github.com/JoSeTe4ever/LLMozaic,openai,openai,openai,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
